子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[领取条件]4类型	[领取条件]4参数1	[领取条件]4参数2	[领取条件]4参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[完成条件]4类型	[完成条件]4参数1	[完成条件]4复杂参数	[完成条件]4次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]1参数3	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]2参数3	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]3参数3	[执行]4类型	[执行]4参数1	[执行]4参数2	[执行]4参数3	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	独占NPC	共享NPC	独占优先级	试用角色列表	$#VersionBegin	$#VersionEnd
2006104	20061	2			1	1	9	22700			1	2006101	3											4	2006104																	8	2006104																						19	3	133002311,2																																					
2006105	20061	3			1	1	9	22700			1	2006102	3											20			1330023101	1																																																																												
2006106	20061	4				1	9	22700			1	2006103	3											6	1148																											1		Q20061Des02	15	3	4	2				1			19	3	133002313,2														19	3	133002310,1	19	3	133002313,1	19	3	133002313,1										1537					
2006107	20061	5				1	9	22700			1	2006106	3											6	1149																											1		Q20061Des03	15	3	4	2				1			19	3	133002314,2														19	3	133002310,1	19	3	133002313,1	19	3	133002313,1										1537					
2006108	20061	6				1	9	22700			1	2006107	3											6	1150																											1		Q20061Des04	15	3	4	2				1																			19	3	133002310,1	19	3	133002313,1	19	3	133002313,1										1537					
2006109	20061	7				1	9	22700			1	2006108	3		1	2006105	2							2	2006104																	20			1330023101	1						2		1537		3	3	2		1		1			24	22700																																	1537					
2006117	20061	7				1	9	22700			1	2006108	3		1	2006105	3							2	2006105																											2		1537		3	4	2				1	100354	1																																			1537					
2006118	20061	8				1	9	22700			1	2006117	3		3	100354	1							2	2006112																											2		1419		3	4	2				1							29	100354											29	100354																	1537					
2006119	20061	9				1	9	22700			1	2006118	3											2	2006113																											2		1537		3	3	2		1		1			24	22700																																	1537					
2006110	20061	4				1	9	22700			1	2006104	3											6	1151																											1		Q20061Des02		3	4	2				1																			19	3	133002310,1																1537					
2006111	20061	5				1	9	22700			1	2006110	3											6	1153																											1		Q20061Des05	20	3	4	2				1																																					1537					
2006112	20061	6			1	1	9	22700			1	2006110	3											4	2006112																	8	2006112																						19	3	133002311,2														19	3	133002311,1																					
2006113	20061	6			1	1	9	22700			1	2006110	3											4	2006113																	8	2006113																						19	3	133002311,3														19	3	133002311,1																					
2006114	20061	7				1	9	22700			1	2006111	3											20			1330023111	1																								1		Q20061Des05	10	3	4	2				1																			19	3	133002311,1																1537					
2006115	20061	8			1	1	9	22700			1	2006111	3											5	100352																																																																															
2006116	20061	9				1	9	22700			1	2006114	3										2	2	2006109				2	2006110																						2		1537		3	3	2		1		1			24	22700			29	100352											29	100352																	1537					
2006201	20062	1					9	22400																2	2006201																											2		1604		3	1	1				1																																					1604					
2006202	20062	2				1	9	22400			1	2006201	3											20			13300422101	1														20			13300422102	1						1		Event_22400_01	20	3	2	2				1																												19	3	133004221,2	1	100365	1	19	3	133004278,2	1604					
2006203	20062	3				1	9	22400			1	2006202	3											20			13300422103	1														20			13300422102	1						1		Event_22400_01		3	4	1					100365	1																																			1604					
2006204	20062	4				1	9	22400			1	2006203	3											2	2006202																											2		1604		3	3	2		1		1			34	22400	1	1	1	100365	1		19	3	133004280,2		24	22400																					1604					
2006205	20062	2			1	1	9	22400			1	2006201	3											4	2006205																	20			13300422102	1																																																										
2006206	20062	5				1	9	22400			1	2006205	4											5	100353			1																								1		Event_22400_01	10	3	2	2				1																																					1604					
2006207	20062	6				1	9	22400			1	2006206	3											2	2006203																											2		1604		3	3	2		1		1			34	22400	1	2	1	100353	1		19	3	133004280,3		24	22400																					1604					
2006401	20064	1			1	2	1	2006207	3		1	2006204	3											20			1330042801	1																																		1																																										
2006402	20064	2			1		1	2006401	3															2	2006401																																			1		1																																										
2006301	20063	1					9	22800															2	2	2006301				2	2006302			2	2006303																		2		141301		3	1	1				1																																										
2006302	20063	2				1	9	22800			1	2006301	3		24	0	1							6	1156																											1		Q20063FireSlime	25	3	4	2				1																												19	3	133001231,3												
2006303	20063	3				1	9	22800			1	2006302	3		24	0	1							20			1330012311	1																								1		Q20063FireSlime	10	3	4	2				1																																										
2006304	20063	2				1	9	22800			1	2006301	3		24	0	2							6	1157																											1		Q20063ShieldHili	25	3	4	2				1																												19	3	133003408,2												
2006305	20063	3				1	9	22800			1	2006304	3		24	0	2							20			1330034081	1																								1		Q20063ShieldHili	10	3	4	2				1																																										
2006306	20063	2				1	9	22800			1	2006301	3		24	0	3							6	1155																											1		Q20063BigIceSlime	25	3	4	2				1																												19	3	133002233,3												
2006307	20063	3				1	9	22800			1	2006306	3		24	0	3							20			1330022331	1																								1		Q20063BigIceSlime	10	3	4	2				1																																										
2006308	20063	5				1	9	22800			24	1	1										2	2	2006312				2	2006314																						2		141301		3	3	1		1		1			24	22800																																						
2006309	20063	5				1	9	22800			24	1	2											2	2006313																											2		141301		3	3	1				1																																										
2006310	20063	5				1	9	22800			1	2006309	3		24	1	2							2	2006316																											2		140901		3	3	1		1		1			24	22800																																						
2004701	20047	1					9	21800																2	2004701																											2		1591		3	1	1				1																																					1591					
2004702	20047	2	1			1	9	21800			1	2004701	3											20			13300349001	1																								1		Event_21800_01	30	3	4	2							23	200470601	1																																					
2004703	20047	3	1			1	9	21800			1	2004701	3											20			13300349002	1																								1		Event_21800_02	30	3	4	2							23	200470601	1																																					
2004704	20047	4	1			1	9	21800			1	2004701	3											20			13300349003	1																								1		Event_21800_03	30	3	4	2							23	200470601	1																																					
2004705	20047	5	1			1	9	21800			1	2004701	3											20			13300349004	1																								1		Event_21800_04	30	3	4	2							23	200470601	1																																					
2004706	20047	6			1	1	9	21800			1	2004701	3											24	200470601			4																																		1																			19	3	133003490,1							19	3	133003490,2							1591					
2004708	20047	7			1	1	9	21800			1	2004701	3											4	2004708																																					1																																										
2004707	20047	8				1	9	21800			1	2004706	3											2	2004703																											2		1591		3	3	2		1		1			19	3	133003490,1		24	21800																													1591					
2004201	20042	1					9	21400															2	2	2004202				2	2004203																						2		147101		3	1	1				1																																					147101,160201,1471,1602					
2004202	20042	2				1	9	21400			1	2004201	3										2	2	2004211				2	2004212			2	2004213																		2		160201		3	2	2				1																																					147101,160201,1471,1602					
2004203	20042	3	1			1	9	21400			1	2004202	3											20			1330042711	9																								1		Q20042TargetPos	100	3	2	2				1			19	3	133004271,1		19	3	133004911,2										19	3	133004271,1	19	3	133004911,2				19	3	133004271,2	19	3	133004911,1				147101,160201,1471,1602					
2004204	20042	4				1	9	21400			1	2004203	3											2	2004206																											2		160201		3	2	2				1																																					147101,160201,1471,1602					
2004205	20042	5				1	9	21400			1	2004204	3											2	2004207																											2		1471		1008	3	2		1					24	21400																																	147101,160201,1471,1602					
2004301	20043	1					9	21500																2	2004301																											2		142101		3	1	1				1																																					142101,140301,1421,1403					
2004306	20043	2			1	1	9	21500			1	2004301	3											6	1146																											2		140301		3	2	2				1																																										
2004307	20043	3			1	1	9	21500			1	2004301	3											2	2004308																											2		140301		3	2	2				1																																										
2004302	20043	4				1	9	21500			1	2004301	3											2	2004303																											2		140301		3	2	2				1																																					142101,140301,1421,1403					
2004303	20043	5	1			1	9	21500			1	2004302	3											5	100002			3																													2	2				1																																					142101,140301,1421,1403					
2004304	20043	6				1	9	21500			1	2004303	3											2	2004305																	111	100002	3								2		140301		3	2	2				1			1	100002	3														14	2004303																	142101,140301,1421,1403					
2004305	20043	7				1	9	21500			1	2004304	3											2	2004306																											2		142101		3	3	2		1		1			24	21500																																	142101,140301,1421,1403					
2004901	20049	1					9	21900																2	2004901																											2		146101		1009	1	1				1																																					146101,146301,1403					
2004902	20049	2				1	9	21900			1	2004901	3											2	2004902																											2		146301		3	2	2				1			19	3	133004912,1														19	3	133004912,1							19	3	133004912,2							146101,146301,1403					
2004903	20049	3	1			1	9	21900			1	2004902	3											5	100002			5																																		1			1	100002	5																																146101,146301,1403					
2004904	20049	4				1	9	21900			1	2004903	3											2	2004906																											2		1403		3	2	2				1																																					146101,146301,1403					
2004905	20049	5				1	9	21900			1	2004904	3											2	2004908																											2		146101		1009	3	2		1		1			24	21900																																	146101,146301,1403					
2006501	20065	1					9	21603																2	2006501																											2		1605		3	1	1				1																												19	3	133004270,1							1605					
2006502	20065	2				1	9	21603			1	2006501	3											20			133004270	1														20			13300427001	1						1		Event_21600_01	10	3	2	2				1																			19	3	133004270,1	14	2006502					19	3	133004270,2							1605					
2006503	20065	3				1	9	21603			1	2006502	3											2	2006503																											2		1605		3	3	2		1		1			19	3	133004270,1		24	21603											19	3	133004270,1																1605					
2006601	20066	1					9	21604																2	2006601																											2		1605		3	1	1				1																												19	3	133004270,1							1605					
2006602	20066	2				1	9	21604			1	2006601	3											20			133004270	1														20			13300427001	1						1		Event_21600_01	10	3	2	2				1																			19	3	133004270,1	14	2006602					19	3	133004270,5							1605					
2006603	20066	3				1	9	21604			1	2006602	3											2	2006603																											2		1605		3	3	2		1		1			19	3	133004270,1		24	21604											19	3	133004270,1																1605					
2050001	20500	1			1		17	6															2	5	104011				5	104012			5	104013																																																																						0.1
2050002	20500	2			1		1	35802	3															10	3																																																																															0.1
2050003	20500	3			1	2	1	2050001	3		1	2050002	3											4	2050003																																			1		1																																										0.1
2050101	20501	1				2	1	31101	3		17	12												9	4100	0																										1		Q20501Target1		3	2					1																																										0.1
2050102	20501	2					1	2050101	3															2	2050105																	19	4100																																						14	2050101																	141301					0.1
2050103	20501	3					1	2050102	3															11	4100																	19	4100																																						14	2050101																						0.1
2050104	20501	4					1	2050103	3															2	2050109																											2		1512		3	3			1		1																																						1512				0.1
2050105	20501	5					1	99902	3															2	2050105																	19	4100																			1																			14	2050101																					0.2	
2050106	20501	6					1	99902	3															2	2050106																	19	4400																			1																			14	2050101																					0.2	
2050107	20501	7					1	99902	3															2	2050107																	19	4200																			1																			14	2050101																					0.2	
2050108	20501	8					1	99902	3															2	2050108																	19	4300																			1																			14	2050101																					0.2	
2050109	20501	9					1	99902	3															2	2050109																											2		1512		3	3			1		1																																									0.2	
2050110	20501	10					1	99902	3															2	2050109																											2		1512		3	3			1		1																																									0.2	
2051001	20510	1			1		1	2050101	3															2	2050105																																			1		1																																										
2050201	20502	1					1	99902	3															9	4200	44																										1		Q20502Target1		3	4					1																																									0.2	
2050202	20502	2					1	2050201	3															113	4200																	19	4200									1		Q20502Target2		40200	2	1		1		1																			14	2050201																					0.2	
2050301	20503	1			1		1	35802	3															10	3																																					1																																										0.1
2050302	20503	2					1	2050301	3															2	2050302																											2		1417		3	1					1			19	3	133003808,1																																				0.2	
2050303	20503	3			1		1	2050301	3															6	1142																																																																															0.1
2050304	20503	4					1	2050302	3															5	101001			3																								1		Q20503Target	40	3						1																																									0.2	
2050305	20503	5					1	2050304	3															2	2050305																											2		1417		3	3					1																																									0.2	
2050306	20503	6			1		1	2050305	3															2	2050306																																			1																																												0.1
2050401	20504	1				1	17	9			1	31101	3											2	2050401																											2		1435		3	1					1																																									0.2	
2050402	20504	2			1	1	17	9			1	31101	3											6	1141																																																																															0.1
2050403	20504	3			1		1	2050401	3															2	2050403																																			1																																												0.1
2050501	20505	1					17	14																2	2050501																											2		1512		3	1					1																																									0.2	
2050502	20505	2			1		1	2050501	3															2	2050502																																			1																																												0.1
2050601	20506	1					17	15																2	2050601																											2		1587		3	1					1																																									0.2	
2050602	20506	2			1		1	2050601	3															2	2050602																																			1																																												0.1
2050701	20507	1			1																			23	3	10																																				1																																										0.1
2050702	20507	2			1		1	2050701	3															4	2050702																																			1		1																																										0.1
2050801	20508	1			1																			11	4100																																					1																																										0.1
2050802	20508	2			1		1	2050801	3														2	113	4100				10	3																														1																																												0.1
2050803	20508	3			1																			11	4200																																					1																																										0.1
2050804	20508	4			1		1	2050803	3														2	113	4200				10	3																														1																																												0.1
2050805	20508	5			1																			11	4300																																					1																																										0.1
2050806	20508	6			1		1	2050805	3														2	113	4300				10	3																														1																																												0.1
2050807	20508	7			1																			11	4400																																					1																																										0.1
2050808	20508	8			1		1	2050807	3														2	113	4400				10	3																														1																																												0.1
2050901	20509	1			1																			4	2050901																																					1																																										0.1
2050902	20509	2			1		1	2050901	3															4	2050902																																			1		1																																										0.1
2010001	20100	1			1		1	35801	3															2	35801																																			1																																												0.1
2002001	20020	1			1																			20			VisionRiddle	1																																																																												
2002002	20020	2			1		1	2002001	3															4	2002002																																																																															
2002003	20020	3			1		1	2002002	3															4	2002003																																			1					15	50008	250008095																																					
2003001	20030	1			1		1	30904	3															20			133004909	1																								2		1512		3	1	1				1																												19	3	133004909,2											0.2	
2003002	20030	2			1		1	30904	3															2	2003001																											2		1512		3	2	2																																													0.2	
2003003	20030	3			1	1	1	30904	3		1	2003002	3											2	2003002																											2		1512		3	3	2				1																																									0.2	
2003004	20030	4					1	30904	3															2	2003002																											2		1512		3	3	2		1																																											0.2	
2003101	20031	1					17	12															2	2	2003101				2	2003104																						2		1512		3	1	1				1																																									0.2	
2003102	20031	2			1		17	12																2	2003101																	8	2003102									2		1512		3						1																																									0.2	
2003103	20031	3			1		1	2003102	3														1	2	2010137				2	2003102																						2		1512		3	2	2				1																																									0.2	
2003104	20031	4			1		1	2003103	3															2	2003103																											2		1512		3	3	2		1		1																																									0.2	
2003105	20031	5			1	1	1	2003201	3		1	2003102	2										1	2	2010137				2	2003104												8	2003105									2		1512		3						1																																									0.2	
2003106	20031	6					1	2003105	3															2	2003105																											2		1512		3	3	2		1		1																																									0.2	
2003107	20031	7					1	2003102	3															2	2003103																											2		1512		3	3	2		1		1																																									0.2	
2003108	20031	8			1		1	99902	3															2	2003104																											2		1512		3						1																																									0.2	
2003109	20031	9			1		1	99902	3															2	2003105																											2		1512		3				1		1																																									0.2	
2003201	20032	1			1		17	14																4	2003201																											2		1512		3						1																																									0.2	
2003202	20032	2			1	2	1	2003201	3		1	2003101	3											4	2003202																											2		1512		3				1		1																																									0.2	
2003301	20033	1					1	99902	3															2	2003301																																																																														0.2	
2003302	20033	2					1	2003301	3															20			133003488																									1		QUEST_20033		3																																		19	3	133003488,2											0.2	
2003303	20033	3					1	2003302	3															2	2003303																																			1																																											0.2	
2003304	20033	4					1	2003303	3															2	2003303																																			1																																											0.2	
2003305	20033	5					1	2003304	3															2	2003303																																			1																																											0.2	
2003306	20033	5					1	2003305	3															2	2003303																																			1																																											0.2	
6000001	60000	1			1		10	1101	1															114	3	2		1																																																																												
6000101	60001	2			1		10	1101	1															116	0	1		3																																																																												
6000201	60002	3			1		10	1101	1															115	1		70210011,70210012,70210013,70210014,70210021,70210022,70210023,70210024,70210031,70210032,70210033,70210034,70210041,70210042,70210043,70210044,70210051,70210052,70210053,70210054,70211001,70211002,70211011,70211012,70211021,70211022,70211031,70211032,70211101,70211102,70211103,70211104,70211111,70211112,70211121,70211122,70211131,70211132	20																																																																												
6000301	60003	4			1		10	1101	1															109	3		3,1																																																																													
6010101	60101	1			1		10	1101	1															114	3	3		1																																																																												
6010201	60102	2			1		10	1101	1															116	0	1		6																																																																												
6010301	60103	3			1		10	1101	1															115	1		70210011,70210012,70210013,70210014,70210021,70210022,70210023,70210024,70210031,70210032,70210033,70210034,70210041,70210042,70210043,70210044,70210051,70210052,70210053,70210054,70211001,70211002,70211011,70211012,70211021,70211022,70211031,70211032,70211101,70211102,70211103,70211104,70211111,70211112,70211121,70211122,70211131,70211132	40																																																																												
6010401	60104	4			1		10	1101	1															109	5		3,1																																																																													
6010501	60105	5			1		10	1101	1															3	22010201			1																								1		AM0001SYFS		3	4	2																																														
6010601	60106	6			1		10	1101	1															3	24010101			1																								1		AM0001YJSW		3	4	2																																														
6010701	60107	7			1		10	1101	1															5	101001																																																																															
6020101	60201	1			1		10	1101	1															114	3	4		1																																																																												
6020201	60202	2			1		10	1101	1															116	0	1		10																																																																												
6020301	60203	3			1		10	1101	1															115	1		70210011,70210012,70210013,70210014,70210021,70210022,70210023,70210024,70210031,70210032,70210033,70210034,70210041,70210042,70210043,70210044,70210051,70210052,70210053,70210054,70211001,70211002,70211011,70211012,70211021,70211022,70211031,70211032,70211101,70211102,70211103,70211104,70211111,70211112,70211121,70211122,70211131,70211132	100																																																																												
6020401	60204	4			1		10	1101	1															109	8		3,1																																																																													
6020501	60205	5			1		10	1101	1															3	20040101			1																								1		AM0001WXZL		3	4	2																																														
6020601	60206	6			1		10	1101	1															20			133002259	1																								1		AM0001BFL		3	4	2																																														
6020701	60207	7			1		10	1101	1															5	101001																																																																															
6020801	60208	8			1		10	1101	1															117				4																																																																												
6020901	60209	9			1		10	1101	1															123	4	5		1																																																																												
